feature,target,spearman,n
n_hidden,last_rmse,0.1870443553597311,811
n_hidden,lin_rmse,0.2796798972910131,811
n_hidden,formula_rmse,-0.056623494915613005,811
n_visible,last_rmse,-0.05271167918023659,811
n_visible,lin_rmse,-0.03461069620604646,811
n_visible,formula_rmse,0.035159106194227026,811
last_max_err,last_rmse,0.9237276439406495,811
last_max_err,lin_rmse,0.21045721370774545,811
last_max_err,formula_rmse,0.05506031138906223,811
last_abs_at_500,last_rmse,0.34791665557626383,810
last_abs_at_500,lin_rmse,0.3139759302120405,810
last_abs_at_500,formula_rmse,0.04893388491666961,810
last_abs_at_2000,last_rmse,0.6797339803746278,805
last_abs_at_2000,lin_rmse,0.16435359034897842,805
last_abs_at_2000,formula_rmse,0.0021442543231196902,805
last_abs_at_4000,last_rmse,0.652719281586315,621
last_abs_at_4000,lin_rmse,0.0905342151983921,621
last_abs_at_4000,formula_rmse,0.12333691952221341,621
gr_kurt,last_rmse,0.07955825132277185,811
gr_kurt,lin_rmse,0.0002927453830186384,811
gr_kurt,formula_rmse,-0.004552069783255199,811
gr_skew,last_rmse,0.03721766240591371,811
gr_skew,lin_rmse,0.010985134046450958,811
gr_skew,formula_rmse,0.08068359674230915,811
gr_ac1,last_rmse,-0.05232179486070489,811
gr_ac1,lin_rmse,-0.024829724267368538,811
gr_ac1,formula_rmse,0.018654062120896837,811
gr_ac10,last_rmse,-0.06441887707708613,811
gr_ac10,lin_rmse,-0.03597682693927926,811
gr_ac10,formula_rmse,0.01779968409370642,811
gr_ac50,last_rmse,-0.05549081286242568,811
gr_ac50,lin_rmse,-0.04819582284900844,811
gr_ac50,formula_rmse,0.03807963347130481,811
dtvt_kurt,last_rmse,0.008467262949576776,787
dtvt_kurt,lin_rmse,0.02688317397213182,787
dtvt_kurt,formula_rmse,0.01816455757904241,787
dtvt_skew,last_rmse,-0.04382922126321132,787
dtvt_skew,lin_rmse,-0.0377144394453858,787
dtvt_skew,formula_rmse,-0.04439015056883673,787
dtvt_ac1,last_rmse,-0.01738489415533574,787
dtvt_ac1,lin_rmse,-0.06499908961309098,787
dtvt_ac1,formula_rmse,0.0043277597697218406,787
d2tvt_std,last_rmse,0.013626360078160336,787
d2tvt_std,lin_rmse,0.05881643498000941,787
d2tvt_std,formula_rmse,-0.0061432160222581475,787
d2tvt_p95,last_rmse,0.01774628052534524,787
d2tvt_p95,lin_rmse,0.06462804862808648,787
d2tvt_p95,formula_rmse,-0.030292662171500558,787
tw_scale_best,last_rmse,-0.01922756164300969,811
tw_scale_best,lin_rmse,0.05246057976746399,811
tw_scale_best,formula_rmse,-0.014225209556199126,811
incl_mean,last_rmse,0.13993490197613537,811
incl_mean,lin_rmse,0.1587422376073372,811
incl_mean,formula_rmse,-0.10319154895546422,811
incl_std,last_rmse,-0.07326040626872193,811
incl_std,lin_rmse,-0.09866386620979266,811
incl_std,formula_rmse,0.052045438132692794,811
azi_mean,last_rmse,0.03964216784338499,811
azi_mean,lin_rmse,0.0476377331867413,811
azi_mean,formula_rmse,-0.08349136522047636,811
azi_std,last_rmse,-0.013456006302827745,811
azi_std,lin_rmse,-0.051362804272406526,811
azi_std,formula_rmse,-0.06411757149455263,811
dogleg_mean,last_rmse,-0.009682476154609158,811
dogleg_mean,lin_rmse,0.061021410851635406,811
dogleg_mean,formula_rmse,0.012854609988911109,811
